Sl.No.,Item,Qty,Unit,Brand,Supplier,Purchased on,Finished on ,Comments
,Alita Lineare Air pump,1,,,,2023-07-18 00:00:00,,
,Flow meter,1,,,,2023-07-18 00:00:00,,
,Flow meter,1,,,,2023-07-18 00:00:00,,
,Whatman hepa filter,20,,,,2023-07-18 00:00:00,,
,Gas tubing 8mm,5,,,,2023-07-18 00:00:00,,
,straight fitting,4,,,,2023-07-18 00:00:00,,
,T fitting8 mm push in,2,,,,2023-07-18 00:00:00,,
,Bottle 1L,2,,,,2023-07-18 00:00:00,,
,pH sensor,1,,,,2023-07-18 00:00:00,,
,Solenoid valve,1,,,,2023-07-18 00:00:00,,
,Tube clamp,10,,,,2023-07-18 00:00:00,,
,GL25 silicon/PTFE ring 12 mm for pH sensor,10,,,,2023-12-13 00:00:00,,
,GL25 cap with hole,10,,,,2023-12-13 00:00:00,,
,GL 25 cap without hole,10,,,,2023-12-13 00:00:00,,
,Hose 10mm PUN-H-10x1.5 Black,5,,,,2023-12-13 00:00:00,,
,Flowmeter 1-10L/min,1,,,,2023-12-13 00:00:00,,
,Flowmeter0.05-05L/min,1,,,,2023-12-13 00:00:00,,
,Solenoid valve,1,,,,2023-12-13 00:00:00,,
,Elbow fitting10mm push in ,2,,,,2023-12-13 00:00:00,,
,"Elbow fitting10mm push in -1/8 inch bu corro, for solenoid/flowmeter ",6,,,,2023-12-13 00:00:00,,
,pH sensor (Hanna),1,,,,19/8/24,(Bill with Roy sir),
