Sl.No.,Item,Qty,Unit,Brand,Supplier,Purchased on,Finished on ,Comments,Invoice no.,Invoice date
,Alita Lineare Air pump,1.0,,,Lgem,2023-07-18 00:00:00,,,23600063.0,2023-07-18
,Buffer,,,,,,,"Stock: pH-2, pH 10-2",,
,"pH, 7",3.0,,Henna,,2023-07-18 00:00:00,,,23600063.0,2023-07-18
,"pH, 10",3.0,,Henna,,2023-07-18 00:00:00,,,23600063.0,2023-07-18
,Cable tie,,,,,,,,,
,"Cable tie, 125 mm",,,,,,,"Stock: 4 (3 black, 1 white)",,
,"Cable tie, 300 mm",,,,,,,Stock: 23 nos,,
,Caps,,,,,,,,,
,"GL-18, with hole",,,,,,,Stock: 12,,
,"GL-18, without hole",,,,,,,Stock:5,,
,"GL-25, with hole",2.0,,,,2023-07-18 00:00:00,,Stock: 15,23600063.0,2023-07-18
,"GL-25, with hole",1.0,10/Pkt,Duran,,2023-12-13 00:00:00,,,,
,"GL-25, without hole",2.0,,,,2023-07-18 00:00:00,,Stock: 15,23600063.0,2023-07-18
,"GL-25, without hole",1.0,10/Pkt,Duran,,2023-12-13 00:00:00,,,,
,"GL-45, with hole",2.0,,Duran,,2023-07-18 00:00:00,,Stock:5,23600063.0,2023-07-18
,"GL-45, with 2 ports",2.0,,Duran,,,,"Stock: 2, for return",,
,,,,,,,,,,
,Connectors,,,,,,,,,
,"Air inlet tube connector, small tube",2.0,,,,,,Stock:2,,
,Tube connector straight,3.0,,,,,,,,
,Cooling port connectors,,,,,,,StocK: 8,,
,Recirculation vessel lid connectors,,,,,,,Stock: 4,,
,Filters,,,,,,,,,
,Whatman hepa filter,2.0,10/pkt,Whatman,,2023-07-18 00:00:00,,"Stock: 22, Used- 11, fresh -11",23600063.0,2023-07-18
,"Air filter, SSP-5-4 7/8, 5um",1.0,,Spectrum,,,,,,
,"Air filter, 0.2 um, large size",2.0,,Pall corporation (Acro50),,,,Stock:2,,
,Fittings,,,,,,,,,
,"Elbow fittings, near hepa filter, 10mm",,,,,,,Stock: 4 ,,
,Straight fitting 8mm 1/8'' on flow meter,4.0,,,,2023-07-18 00:00:00,,,23600063.0,2023-07-18
,"T fittings, 8 mm push in",2.0,,,,2023-07-18 00:00:00,,Stock:2 ,23600063.0,2023-07-18
,"Threaded tube adapter, 8 mm",,,,,,,Stock: 4 ,,
,Flow meter,,,,,,,"Stock: air-2, CO2- 1",,
,"Flow meter, Air (1-10L/min)",2.0,,,,"13-12-2023, 18-07-2023",,,23600063.0,2023-07-18
,"Flow meter, Co2 (0.05-0.5L/min)",2.0,,,,"13-12-2023, 18-07-2023",,,23600063.0,2023-07-18
,Glass bend 180 deg,3.0,,,,2023-07-18 00:00:00,,"Stock: 3, 1 is damaged",23600063.0,2023-07-18
,Humidufying bottle,2.0,,Duran,,2023-07-18 00:00:00,,Stock: 2 ,23600063.0,2023-07-18
,Sealing ring silicon ,5.0,,,,2023-07-18 00:00:00,,,23600063.0,2023-07-18
,"O-ring, inside(white)",,,,,,,Stock:11,,
,"O-ring, outside(white)",,,,,,,Stock:6,,
,pH sensor,1.0,,Henna,,2023-07-18 00:00:00,,,23600063.0,2023-07-18
,Pig (cleaning sponge),6.0,,,,,,"Total: 6; discarded- 1, Current Stock: 5 (one is damaged)",,
,Silicon tube,,,,,,,,,
,Airflow silicon tube,3.0,,,,,,,,
,"Silicone hose, transparent",,,,,,,,,
,"Silicone hose (14x10), transparent",1.0,,,,2023-07-18 00:00:00,,,23600063.0,2023-07-18
,"Silicone hose (10x6), transparent",3.0,,,,2023-07-18 00:00:00,,,23600063.0,2023-07-18
,"Silicon/PTFE ring 12 mm for pH sensor, GL25",5.0,,,,2023-07-18 00:00:00,,,23600063.0,2023-07-18
,"Silicon/PTFE ring 12 mm for pH sensor, GL25",1.0,10/Pkt,,,2023-12-13 00:00:00,,Stock: 19,,
,Solenoid valve,1.0,,,,2023-12-13 00:00:00,,,,
,Solenoid valve cap,1.0,,,,2023-07-18 00:00:00,,,23600063.0,2023-07-18
,Solenoid connector,1.0,,,,2023-07-18 00:00:00,,,23600063.0,2023-07-18
,Tie wrap,10.0,,,,2023-07-18 00:00:00,,Stock:10 ,23600063.0,2023-07-18
,Tube clamp Nylon 38-41.5 mm,10.0,,,,2023-07-18 00:00:00,,Stock:10 ,23600063.0,2023-07-18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Hose 12 mm PUN-H-12x2.0 black,5.0,,,,2023-07-18 00:00:00,,,23600063.0,2023-07-18
,Gas tubing PA 8mm black,5.0,,,,2023-07-18 00:00:00,,,23600063.0,2023-07-18
,Hose 10 mm  PUN-10x1.5 black,5.0,,,,2023-12-13 00:00:00,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Tube, Black",,,Festo,,,,,,
,"Tube , Black, 8mm",,,,,,,Stock:1 roll,,
,"Tube , Black, 10mm",,,,,,,Stock: 2 roll,,
,"Tube , Black, 12mm",,,,,,,Stock:1 roll,,
,,,,,,,,,,
,"Tube, Silicone",,,,,,,,,
,"Tube, Silicone, big dia",,,,,,,Stock: long-1,,
,"Drain tube, 12 mm",,,,,,,"Stock:1 feet -1, small -1",,
,"Drain tube, 10mm",,,,,,,Stock:1,,
,"Big, 8 mm",,,,,,,Stock:1,,
,"Small, 8 mm",,,,,,,Stock: 3,,
,"small, ~4mm",,,,,,,Stock: 1,,
